date_time,total_inbound,total_outbound
NULL,364480856064.0,1454235189248.0
NULL,363467964416.0,1442564276224.0
NULL,365019430912.0,1460172619776.0
NULL,366872690688.0,1453268533248.0
NULL,365130874880.0,1439595364352.0
NULL,362494787584.0,1426879414272.0
NULL,364297912320.0,1425213751296.0
NULL,359672020992.0,1406497718272.0
NULL,362182049792.0,1413234950144.0
NULL,364256133120.0,1420127764480.0
NULL,364593119232.0,1412670029824.0
NULL,366563328000.0,1414357843968.0
NULL,359050444800.0,1399711334400.0
NULL,360922316800.0,1420795969536.0
NULL,364994953216.0,1448921137152.0
NULL,364000149504.0,1492696563712.0
NULL,364456280064.0,1522820317184.0
NULL,363855380480.0,1531169603584.0
NULL,372134838272.0,1607438041088.0
NULL,371694796800.0,1586371231744.0
NULL,372684390400.0,1489750851584.0
NULL,368457351168.0,1429397176320.0
NULL,361044836352.0,1388330090496.0
NULL,360822996992.0,1380316610560.0
NULL,353324138496.0,1347912466432.0
NULL,350621892608.0,1318284558336.0
NULL,348290449408.0,1303231725568.0
NULL,347192623104.0,1291713380352.0
NULL,343513432064.0,1271390666752.0
NULL,341862547456.0,1271276634112.0
NULL,338180440064.0,1263995322368.0
NULL,334459174912.0,1246578999296.0
NULL,334978154496.0,1243378221056.0
NULL,330504011776.0,1232626909184.0
NULL,332668403712.0,1229340934144.0
NULL,332381683712.0,1222387302400.0
NULL,332860162048.0,1227382456320.0
NULL,329392291840.0,1219073409024.0
NULL,330160144384.0,1223447150592.0
NULL,329830924288.0,1217802141696.0
NULL,328043921408.0,1210663829504.0
NULL,328364556288.0,1212659924992.0
NULL,330308550656.0,1222930595840.0
NULL,332295438336.0,1263252537344.0
NULL,336390094848.0,1309945102336.0
NULL,339216760832.0,1309452664832.0
NULL,331505565696.0,1257176694784.0
NULL,333251346432.0,1239453270016.0
NULL,338280022016.0,1271995564032.0
NULL,338905759744.0,1281032585216.0
NULL,341816606720.0,1279745458176.0
NULL,342416457728.0,1272627200000.0
NULL,348199911424.0,1280872939520.0
NULL,349410983936.0,1286768820224.0
NULL,353789771776.0,1296107569152.0
NULL,356570234880.0,1317135843328.0
NULL,366282604544.0,1355665113088.0
NULL,372735836160.0,1382606176256.0
NULL,372499808256.0,1407039963136.0
NULL,379772141568.0,1426082627584.0
NULL,381775511552.0,1444585275392.0
NULL,385455882240.0,1462595223552.0
NULL,392978432000.0,1505947680768.0
NULL,398827585536.0,1587250855936.0
NULL,399483502592.0,1606952157184.0
NULL,404917452800.0,1634548580352.0
NULL,403768279040.0,1655730995200.0
NULL,408393449472.0,1676596084736.0
NULL,417432829952.0,1734615105536.0
NULL,421234606080.0,1761985298432.0
NULL,423480131584.0,1765727928320.0
NULL,431375122432.0,1780300775424.0
NULL,431509438464.0,1798737100800.0
NULL,429531987968.0,1793631453184.0
NULL,439186751488.0,1822204231680.0
NULL,442885308416.0,1862405586944.0
NULL,440786452480.0,1857257209856.0
NULL,438031581184.0,1828683907072.0
NULL,433455497216.0,1820874899456.0
NULL,432346529792.0,1836196823040.0
NULL,436034437120.0,1856483229696.0
NULL,432959946752.0,1844320272384.0
NULL,428212060160.0,1819754364928.0
NULL,430264287232.0,1842266767360.0
NULL,427184062464.0,1836601835520.0
NULL,428247547904.0,1830127140864.0
NULL,425539993600.0,1817379471360.0
NULL,421510479872.0,1812041433088.0
NULL,419427942400.0,1787492696064.0
NULL,419390849024.0,1785176129536.0
NULL,418330705920.0,1772520472576.0
NULL,421380030464.0,1728776110080.0
NULL,416873807872.0,1729929019392.0
